Name,Author,Genre,Price,Reviews,Year,User Rating
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,Fiction,11,20262.0,2012,4.5
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,Fiction,14,47265.0,2012,3.8
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,Fiction,32,13964.0,2012,4.5
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,Fiction,5,5594.0,2012,4.6
Gone Girl,Gillian Flynn,Fiction,10,57271.0,2012,4.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,Non Fiction,14,3457.0,2012,4.5
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,Fiction,7,7038.0,2012,4.9
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,Non Fiction,10,15779.0,2012,4.7
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,Non Fiction,8,19576.0,2012,4.9
Killing Kennedy: The End of Camelot,Bill O'Reilly,Non Fiction,25,8634.0,2012,4.6
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,10,9342.0,2012,4.7
Mockingjay (The Hunger Games),Suzanne Collins,Fiction,8,26741.0,2012,4.5
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,Non Fiction,14,8093.0,2012,4.6
"Oh, the Places You'll Go!",Dr. Seuss,Fiction,8,21834.0,2012,4.9
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,Non Fiction,13,3163.0,2012,4.6
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,Non Fiction,10,13616.0,2012,4.3
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,Non Fiction,46,8580.0,2012,4.5
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,Non Fiction,20,10009.0,2012,4.6
Steve Jobs,Walter Isaacson,Non Fiction,20,7827.0,2012,4.6
StrengthsFinder 2.0,Gallup,Non Fiction,17,5069.0,2012,4.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,Non Fiction,28,3477.0,2012,4.7
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,Non Fiction,24,9325.0,2012,4.6
The Amateur,Edward Klein,Non Fiction,9,2580.0,2012,4.6
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,Non Fiction,14,1789.0,2012,4.2
The Casual Vacancy,J.K. Rowling,Fiction,12,9372.0,2012,3.3
The Fault in Our Stars,John Green,Fiction,13,50482.0,2012,4.7
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,Non Fiction,6,3207.0,2012,4.6
The Great Gatsby,F. Scott Fitzgerald,Fiction,7,11616.0,2012,4.4
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,Fiction,13,11098.0,2012,4.6
The Hunger Games (Book 1),Suzanne Collins,Fiction,8,32122.0,2012,4.7
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,Fiction,30,16949.0,2012,4.8
The Immortal Life of Henrietta Lacks,Rebecca Skloot,Non Fiction,9,9289.0,2012,4.7
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,Non Fiction,13,4247.0,2012,4.4
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,Fiction,10,6247.0,2012,4.8
The Official SAT Study Guide,The College Board,Non Fiction,40,1201.0,2012,4.4
